Setting,Method,Merging,cluster_id,size,purity,mean_radius,nearest_cluster_dist,mean_prob,reliability_score,accepted,reason,sub_scores
VUP Embedding,VUP Embedding + Graph HDBSCAN,False,15,15,0.4666666666666667,0.6621567606925964,3.073276996612549,0.9614441425635195,0.6401004336691591,True,accepted,"{'compactness': 0.5279010099912331, 'separation': 0.5167349225153506, 'hdb_prob': 0.9614441425635195}"
VUP Embedding,VUP Embedding + Graph HDBSCAN,False,16,96,0.90625,1.192744493484497,3.4160056114196777,0.6926015531108692,0.49526884782321223,True,accepted,"{'compactness': 0.3163975911449305, 'separation': 0.5543785347755257, 'hdb_prob': 0.6926015531108692}"
VUP Embedding,VUP Embedding + Graph HDBSCAN,False,17,30,0.9,1.117145299911499,2.332580327987671,0.8727835774601062,0.5013210104710224,True,accepted,"{'compactness': 0.3403373924592991, 'separation': 0.42416173430522397, 'hdb_prob': 0.8727835774601062}"
VUP Embedding,VUP Embedding + Graph HDBSCAN,False,18,13,0.6923076923076923,1.0200870037078857,3.073276996612549,0.9925670182048564,0.5765917654717699,True,accepted,"{'compactness': 0.37374694704594047, 'separation': 0.5167349225153506, 'hdb_prob': 0.9925670182048564}"
VUP Embedding,VUP Embedding + Graph HDBSCAN,False,19,22,1.0,0.7751251459121704,3.2976291179656982,0.8987983870011529,0.613128944778744,True,accepted,"{'compactness': 0.4733889181345475, 'separation': 0.5417202688949072, 'hdb_prob': 0.8987983870011529}"
VUP Embedding,VUP Embedding + Graph HDBSCAN,False,20,38,0.9473684210526315,1.1052159070968628,4.226236820220947,0.8708866944902803,0.5744116514245678,True,accepted,"{'compactness': 0.34427711233909614, 'separation': 0.632120557958092, 'hdb_prob': 0.8708866944902803}"
VUP Embedding,VUP Embedding + Graph Merge,True,0,51,1.0,3.6917805671691895,4.992966651916504,0.805098712773321,0.31646092666027714,False,low_reliability_score,"{'compactness': 0.06077060357036048, 'separation': 0.6477651876035722, 'hdb_prob': 0.805098712773321}"
VUP Embedding,VUP Embedding + Graph Merge,True,1,57,0.9649122807017544,2.1762514114379883,4.8170623779296875,0.8506698845816684,0.46962344201107337,True,accepted,"{'compactness': 0.19186903260916152, 'separation': 0.6345755835438691, 'hdb_prob': 0.8506698845816684}"
VUP Embedding,VUP Embedding + Graph Merge,True,2,44,1.0,1.0364880561828613,5.203620910644531,0.7938720537554993,0.6212203080673484,True,accepted,"{'compactness': 0.4555280836732362, 'separation': 0.6629354804778226, 'hdb_prob': 0.7938720537554993}"
VUP Embedding,VUP Embedding + Graph Merge,True,3,91,1.0,2.142725944519043,3.998304843902588,0.9707717143720014,0.4765317634421359,True,accepted,"{'compactness': 0.1968114219185481, 'separation': 0.5663803132875334, 'hdb_prob': 0.9707717143720014}"
VUP Embedding,VUP Embedding + Graph Merge,True,4,49,1.0,1.3181874752044678,4.947775363922119,0.7967599450594706,0.5737657743761864,True,accepted,"{'compactness': 0.36787944117144233, 'separation': 0.6444228107793669, 'hdb_prob': 0.7967599450594706}"
VUP Embedding,VUP Embedding + Graph Merge,True,5,34,1.0,1.073277473449707,5.391618251800537,0.8184978733585572,0.625800746481308,True,accepted,"{'compactness': 0.44299047827566007, 'separation': 0.6759215355012662, 'hdb_prob': 0.8184978733585572}"
VUP Embedding,VUP Embedding + Graph Merge,True,6,34,0.9705882352941176,1.1958670616149902,5.664299011230469,0.6616701584943983,0.5701324507472845,True,accepted,"{'compactness': 0.4036506100879346, 'separation': 0.6938732116518997, 'hdb_prob': 0.6616701584943983}"
